G,T
1464,130.0
1618,130.0
1701,130.0
1769,130.0
1755,130.0
1516,130.0
1481,130.0
1786,130.0
1856,130.0
1465,130.0
1339,130.0
1383,130.0
1340,130.0
1523,130.0
1434,130.0
1221,130.0
1033,130.0
1371,130.0
1560,130.0
1387,130.0
1301,130.0
1271,130.0
1504,130.0
1733,130.0
1890,130.0
1728,130.0
1453,130.0
1444,130.0
1806,130.0
1875,130.0
1453,130.0
1368,130.0
1471,130.0
1296,130.0
1288,130.0
1305,130.0
1271,130.0
1067,130.0
1253,130.0
1395,130.0
1276,200.0
1355,200.0
1506,200.0
1575,200.0
1652,200.0
1817,200.0
1667,200.0
1413,200.0
1476,200.0
1938,200.0
1623,130.0
1243,130.0
1263,130.0
1348,130.0
1272,130.0
1312,130.0
1359,130.0
1198,130.0
1156,130.0
1421,130.0
1406,130.0
1097,130.0
1176,130.0
1358,130.0
1660,130.0
1779,130.0
1845,130.0
1621,130.0
1417,130.0
1651,130.0
1822,130.0
1396,130.0
1317,130.0
1337,130.0
1378,130.0
1347,130.0
1456,130.0
1182,130.0
1106,130.0
1335,130.0
1457,130.0
1254,200.0
1129,200.0
1293,200.0
1616,200.0
1600,200.0
1763,200.0
1732,200.0
1480,200.0
1611,200.0
1895,200.0
1699,130.0
1325,130.0
1334,130.0
1354,130.0
1404,130.0
1350,130.0
1272,130.0
1196,130.0
1099,130.0
1466,130.0
1636,130.0
1351,130.0
1363,130.0
1519,130.0
1666,130.0
1773,130.0
1822,130.0
1554,130.0
1290,130.0
1704,130.0
1941,130.0
1579,130.0
1339,130.0
1452,130.0
1565,130.0
1311,130.0
1309,130.0
1243,130.0
1110,130.0
1219,130.0
1479,130.0
1501,130.0
1339,200.0
1397,200.0
1543,200.0
1587,200.0
1657,200.0
1834,200.0
1565,200.0
1268,200.0
1468,200.0
2042,200.0
1705,130.0
1568,130.0
1651,130.0
1593,130.0
1295,130.0
1251,130.0
1110,130.0
1070,130.0
1089,130.0
1437,130.0
1677,130.0
1574,200.0
1587,200.0
1754,200.0
1766,200.0
1680,200.0
1767,200.0
1569,200.0
1347,200.0
1347,200.0
1636,200.0
1620,200.0
1665,200.0
1732,200.0
1741,200.0
1577,200.0
1555,200.0
1207,200.0
1230,200.0
1412,200.0
1721,200.0
1605,130.0
1259,130.0
1324,130.0
1564,130.0
1621,130.0
1708,130.0
1795,130.0
1476,130.0
1328,130.0
1354,130.0
1655,130.0
1625,130.0
1570,130.0
1520,130.0
1401,130.0
1318,130.0
1425,130.0
1358,130.0
1332,130.0
1359,130.0
1669,130.0
1564,130.0
1321,130.0
1347,130.0
1489,130.0
1492,130.0
1570,130.0
1729,130.0
1547,130.0
1383,130.0
1465,130.0
1880,130.0
1749,130.0
1537,130.0
1560,130.0
1518,130.0
1253,130.0
1331,130.0
1206,130.0
1251,130.0
1315,130.0
1518,130.0
1505,130.0
1289,130.0
1352,130.0
1510,130.0
1587,130.0
1651,130.0
1829,130.0
1622,130.0
1370,130.0
1373,130.0
1810,130.0
1751,130.0
1514,130.0
1560,130.0
1553,130.0
1374,130.0
1238,130.0
1261,130.0
1187,130.0
1218,130.0
1350,130.0
1358,130.0
1255,130.0
1468,130.0
1701,130.0
1707,130.0
1649,130.0
1737,130.0
1641,130.0
1411,130.0
1307,130.0
1555,130.0
1573,130.0
1596,130.0
1514,130.0
1506,130.0
1357,130.0
1155,130.0
1230,130.0
1239,130.0
1264,130.0
1378,130.0
1344,130.0
1233,130.0
1319,130.0
1619,130.0
1771,130.0
1678,130.0
1738,130.0
1570,130.0
1243,130.0
1507,130.0
1504,130.0
1643,130.0
1714,130.0
1723,130.0
1643,130.0
1615,130.0
1412,130.0
1343,130.0
1326,130.0
1773,130.0
1871,130.0
1393,130.0
1265,130.0
1486,130.0
1696,130.0
1789,130.0
1953,130.0
1590,130.0
1275,130.0
1220,130.0
1330,130.0
1558,130.0
1517,130.0
1656,130.0
1767,130.0
1705,130.0
1567,130.0
1375,130.0
1308,130.0
1392,130.0
1450,130.0
1397,130.0
1156,130.0
1381,130.0
1630,130.0
1633,130.0
1586,130.0
1703,130.0
1535,130.0
1361,130.0
1501,130.0
1752,130.0
1524,130.0
1439,130.0
1512,130.0
1457,130.0
1389,130.0
1358,130.0
1299,130.0
1266,130.0
1500,130.0
1522,130.0
1400,130.0
1318,130.0
1400,130.0
1468,130.0
1581,130.0
1789,130.0
1759,130.0
1489,130.0
1437,130.0
1775,130.0
1797,130.0
1448,130.0
1422,130.0
1422,130.0
1380,130.0
1375,130.0
1247,130.0
1316,130.0
1157,130.0
1226,130.0
1393,130.0
1249,130.0
1285,130.0
1517,130.0
1628,130.0
1748,130.0
1849,130.0
1611,130.0
1261,130.0
1458,130.0
1839,130.0
1680,130.0
1360,130.0
1372,130.0
1378,130.0
1277,130.0
1458,130.0
1453,130.0
1307,130.0
1208,130.0
1232,130.0
1266,130.0
1315,130.0
1505,130.0
1587,130.0
1559,200.0
1688,200.0
1707,200.0
1472,200.0
1437,200.0
1671,200.0
1868,200.0
1562,130.0
1354,130.0
1352,130.0
1293,130.0
1493,130.0
1380,130.0
1248,130.0
1290,130.0
1471,130.0
1420,130.0
1223,130.0
1348,130.0
1581,130.0
1710,130.0
1858,130.0
1784,130.0
1685,130.0
1492,130.0
1581,130.0
1819,130.0
1660,130.0
1513,130.0
1481,130.0
1536,130.0
1553,130.0
1396,130.0
1215,130.0
1192,130.0
1418,130.0
1410,130.0
1246,130.0
1326,130.0
1620,130.0
1838,130.0
1843,130.0
1835,130.0
1666,130.0
1512,130.0
1485,130.0
1706,130.0
1675,130.0
1590,130.0
1462,130.0
1395,130.0
1328,130.0
1413,130.0
1182,130.0
1153,130.0
1165,130.0
1369,130.0
1328,130.0
1207,130.0
1304,130.0
1608,130.0
1779,130.0
1890,130.0
1869,130.0
1585,130.0
1362,130.0
1491,130.0
1697,130.0
1485,130.0
1403,130.0
1475,130.0
1480,130.0
1472,130.0
1453,130.0
1426,130.0
1197,130.0
1026,130.0
1085,130.0
1206,130.0
1331,130.0
1491,130.0
1647,130.0
1641,130.0
1721,130.0
1679,130.0
1544,130.0
1340,130.0
1464,130.0
2028,130.0
1592,200.0
1451,200.0
1532,200.0
1539,200.0
1398,200.0
1252,200.0
1289,200.0
1038,200.0
1029,200.0
1237,200.0
1292,200.0
1445,200.0
1754,200.0
1860,200.0
1649,200.0
1617,200.0
1746,200.0
1618,200.0
1279,200.0
1580,200.0
1851,200.0
1797,200.0
1625,200.0
1578,200.0
1486,200.0
1362,200.0
1215,200.0
1287,200.0
1204,200.0
1179,200.0
1381,200.0
1359,200.0
1382,200.0
1630,200.0
1749,200.0
1623,200.0
1582,200.0
1811,200.0
1669,130.0
1462,130.0
1363,130.0
1817,130.0
1941,130.0
1617,130.0
1458,130.0
1329,130.0
1245,130.0
1312,130.0
1366,130.0
1363,130.0
1253,130.0
1344,130.0
1394,130.0
1182,130.0
1292,130.0
1573,130.0
1736,130.0
1841,130.0
1741,130.0
1648,130.0
1320,130.0
1443,130.0
1586,130.0
1494,130.0
1594,130.0
1639,130.0
1425,130.0
1270,130.0
1416,130.0
1404,130.0
1424,130.0
1344,130.0
1316,130.0
1249,130.0
1474,130.0
1725,130.0
1817,130.0
1774,130.0
1623,130.0
1417,130.0
1389,130.0
1743,130.0
1955,130.0
1790,130.0
1702,130.0
1565,130.0
1444,130.0
1276,130.0
1436,130.0
1249,200.0
1290,200.0
1407,200.0
1412,200.0
1318,200.0
1350,200.0
1553,200.0
1710,200.0
1838,200.0
1788,130.0
1591,130.0
1461,130.0
1461,130.0
1968,130.0
1949,130.0
1674,130.0
1600,130.0
1504,130.0
