G,T
2692,200.0
2592,200.0
1899,200.0
1828,200.0
1830,200.0
1701,200.0
1753,200.0
1771,200.0
1574,200.0
1899,200.0
2430,200.0
2131,200.0
1673,200.0
1517,200.0
1599,200.0
1631,200.0
1968,200.0
2312,200.0
1172,230.0
1228,230.0
2432,230.0
2220,230.0
1763,230.0
1717,230.0
1950,230.0
1878,230.0
1706,230.0
1585,230.0
1518,230.0
1846,230.0
2544,230.0
1972,230.0
1585,230.0
1410,230.0
1482,230.0
1734,230.0
2331,230.0
1665,200.0
938,200.0
1494,200.0
2845,200.0
2000,200.0
1709,200.0
1728,200.0
1890,200.0
1625,230.0
1684,230.0
1560,230.0
1582,230.0
2087,230.0
2493,230.0
1887,230.0
1405,230.0
1315,230.0
1570,230.0
2069,230.0
2328,230.0
1874,130.0
1338,130.0
2055,130.0
2274,130.0
1712,130.0
1580,130.0
1776,130.0
2147,130.0
1799,230.0
1791,230.0
1621,230.0
2160,230.0
2593,230.0
2245,230.0
1644,230.0
1472,230.0
1660,230.0
2100,230.0
2209,230.0
1470,200.0
1053,200.0
1130,200.0
2561,200.0
2484,200.0
2021,200.0
1986,200.0
1997,200.0
2024,200.0
1839,200.0
1752,200.0
1508,200.0
1709,200.0
2549,200.0
2407,230.0
1913,230.0
1719,230.0
1904,230.0
1893,230.0
1899,230.0
1786,230.0
1356,230.0
1989,230.0
2747,230.0
2349,230.0
2277,230.0
1781,230.0
1490,230.0
1417,230.0
1424,230.0
1806,230.0
1973,230.0
2356,230.0
2885,230.0
2181,230.0
1752,230.0
1642,230.0
1795,230.0
1936,230.0
2131,230.0
1238,230.0
950,230.0
2012,230.0
2321,230.0
2048,230.0
2217,230.0
2444,230.0
2120,230.0
1659,230.0
1451,230.0
1710,230.0
2045,230.0
2757,230.0
2857,230.0
2141,230.0
1668,230.0
1555,230.0
1597,230.0
1510,230.0
1872,230.0
1287,230.0
1464,230.0
2149,230.0
2600,230.0
2440,230.0
2370,230.0
2370,230.0
1785,230.0
1477,230.0
1551,230.0
1874,230.0
2052,230.0
2518,230.0
2771,230.0
2253,230.0
2002,230.0
1873,230.0
1765,230.0
1780,230.0
1878,230.0
1612,230.0
1178,230.0
2094,230.0
3046,230.0
2727,230.0
2830,230.0
2665,230.0
2075,230.0
1604,230.0
1947,230.0
1622,230.0
1685,230.0
2652,230.0
3523,230.0
2910,330.0
2375,330.0
2110,330.0
2044,330.0
1545,330.0
1494,330.0
1714,330.0
1633,330.0
2476,330.0
2623,330.0
2347,330.0
2253,330.0
2093,330.0
1722,330.0
2104,330.0
1950,200.0
2126,200.0
2270,200.0
2470,200.0
2241,200.0
1840,200.0
1596,200.0
1571,200.0
1885,200.0
2172,200.0
1777,200.0
1465,200.0
1744,200.0
2887,200.0
2484,200.0
2444,200.0
2164,200.0
1582,200.0
1487,200.0
1690,200.0
1786,200.0
1521,230.0
2182,230.0
2695,230.0
1903,230.0
1841,230.0
1919,230.0
1626,230.0
2099,230.0
4419,230.0
872,200.0
1283,200.0
2841,200.0
1991,200.0
1865,200.0
1637,200.0
1476,200.0
1520,200.0
1685,200.0
1794,200.0
1533,430.0
1788,430.0
2406,430.0
2175,430.0
1662,430.0
1573,430.0
1787,430.0
2022,430.0
2096,430.0
1774,200.0
1224,200.0
1994,200.0
2629,200.0
1991,200.0
1820,200.0
1900,200.0
1860,200.0
1672,200.0
1868,200.0
1666,200.0
1988,200.0
2617,200.0
2742,200.0
2114,200.0
1737,200.0
1751,200.0
1682,200.0
1672,200.0
1992,200.0
1429,200.0
1194,200.0
2148,200.0
2883,200.0
2369,200.0
2237,200.0
2080,200.0
1849,200.0
1755,200.0
2027,200.0
1421,200.0
1622,200.0
2155,200.0
2679,200.0
2365,200.0
2026,200.0
1953,200.0
1906,200.0
1930,200.0
1966,200.0
1773,200.0
1310,200.0
1934,200.0
2778,200.0
2484,200.0
2282,200.0
2269,200.0
2210,200.0
1659,200.0
1593,200.0
1705,200.0
1672,200.0
2263,200.0
2831,200.0
2557,230.0
2095,230.0
2106,230.0
2244,230.0
2162,230.0
2266,230.0
1621,230.0
1272,230.0
1948,230.0
2661,230.0
2359,230.0
2428,230.0
2467,230.0
2058,230.0
1879,230.0
1848,230.0
1815,230.0
1964,230.0
2521,230.0
2819,230.0
2133,230.0
1827,230.0
1788,230.0
1795,230.0
1789,230.0
2153,230.0
1621,230.0
1300,230.0
2624,230.0
2840,230.0
2407,230.0
2442,230.0
2254,230.0
2162,230.0
2009,230.0
1800,230.0
1361,230.0
1897,230.0
2471,230.0
2823,230.0
2256,230.0
1989,230.0
2175,230.0
2071,230.0
1977,230.0
1901,230.0
1686,230.0
1541,230.0
2371,230.0
2712,230.0
2338,230.0
2143,230.0
1870,230.0
2054,230.0
2261,230.0
1812,230.0
1299,230.0
1796,230.0
2046,230.0
2525,230.0
2166,230.0
2024,230.0
2149,230.0
2507,230.0
2103,230.0
1908,230.0
2075,230.0
1595,230.0
2328,230.0
2526,230.0
2103,230.0
1919,230.0
1818,230.0
1711,230.0
1922,230.0
1646,130.0
1185,130.0
1236,130.0
1705,130.0
2110,130.0
2174,130.0
1988,130.0
1816,130.0
1732,130.0
1565,130.0
1647,130.0
1704,130.0
2170,130.0
1710,200.0
2229,200.0
2305,200.0
1530,200.0
1329,200.0
1140,200.0
1053,200.0
1550,200.0
1702,200.0
1722,200.0
1526,230.0
1899,230.0
2296,230.0
1940,230.0
1431,230.0
1171,230.0
1263,230.0
1381,230.0
1563,230.0
1884,230.0
1802,230.0
1212,230.0
2180,230.0
2490,230.0
1794,230.0
1462,230.0
1427,230.0
1821,230.0
1709,230.0
1626,230.0
1473,230.0
1597,230.0
2130,230.0
2364,230.0
1687,230.0
1473,230.0
1537,230.0
2067,230.0
2220,230.0
1529,200.0
2063,200.0
1834,200.0
2778,200.0
2419,200.0
1960,200.0
1678,200.0
1288,200.0
1165,200.0
1402,200.0
1465,200.0
1435,230.0
1809,230.0
2421,230.0
2329,230.0
1777,230.0
1673,230.0
1828,230.0
2086,230.0
2054,200.0
2095,200.0
1108,200.0
1149,200.0
2067,200.0
2307,200.0
1935,200.0
1897,200.0
1937,200.0
1950,200.0
1659,200.0
1715,200.0
1532,200.0
1623,200.0
2425,200.0
2309,200.0
1724,200.0
1504,200.0
1580,200.0
1784,200.0
1773,200.0
1965,200.0
1337,230.0
1121,230.0
2040,230.0
2631,230.0
2152,230.0
2153,230.0
1958,230.0
1693,230.0
1386,230.0
1283,230.0
1322,230.0
1219,230.0
1699,230.0
2033,230.0
1356,200.0
1009,200.0
1133,200.0
1332,200.0
2098,200.0
2070,200.0
2476,200.0
1210,230.0
1602,230.0
2189,230.0
1393,230.0
1085,230.0
1086,230.0
1152,230.0
1893,230.0
2313,230.0
1797,200.0
1501,200.0
1624,200.0
1878,200.0
1485,200.0
1229,200.0
1211,200.0
1355,200.0
1545,200.0
1749,200.0
1824,200.0
1419,230.0
1718,230.0
2823,230.0
2574,230.0
2054,230.0
1820,230.0
1551,230.0
1337,230.0
1226,230.0
978,230.0
1056,230.0
1252,230.0
1307,230.0
1925,230.0
2547,230.0
2008,230.0
1582,230.0
1535,230.0
1493,230.0
1384,230.0
1279,230.0
1203,230.0
1492,230.0
1883,230.0
1581,230.0
2189,230.0
2432,230.0
2136,230.0
1741,230.0
1662,230.0
1311,230.0
