G,T
1499,130.0
1660,130.0
1512,130.0
1601,130.0
1655,130.0
1628,130.0
1656,130.0
1388,130.0
1686,130.0
1778,130.0
1654,130.0
1452,130.0
1297,130.0
1155,130.0
1148,130.0
1223,130.0
1007,130.0
1224,130.0
1246,130.0
1503,130.0
1526,130.0
1483,130.0
1480,130.0
1539,130.0
1528,130.0
1357,130.0
1465,130.0
1508,130.0
1411,130.0
1733,130.0
1469,130.0
1730,130.0
1790,130.0
1638,130.0
1505,130.0
1387,130.0
1237,130.0
1111,130.0
1105,130.0
1088,130.0
1121,130.0
1101,130.0
1245,130.0
1550,130.0
1584,130.0
1633,130.0
1675,130.0
1649,130.0
1435,130.0
1321,130.0
1469,130.0
1332,130.0
1569,130.0
1617,130.0
1927,130.0
1868,130.0
1847,130.0
1690,130.0
1506,130.0
1316,130.0
1125,130.0
1055,130.0
1028,130.0
896,130.0
1126,130.0
1140,130.0
1507,130.0
1681,130.0
1593,130.0
1551,130.0
1725,130.0
1566,130.0
1328,130.0
1298,130.0
1437,130.0
1356,200.0
1547,200.0
1430,200.0
1659,200.0
1798,200.0
1740,200.0
1602,200.0
1466,200.0
1315,200.0
1194,200.0
1077,200.0
960,200.0
891,200.0
1024,200.0
1128,200.0
1456,200.0
1563,200.0
1553,130.0
1631,130.0
1662,130.0
1459,130.0
1273,130.0
1379,130.0
1366,130.0
1430,130.0
1475,130.0
1532,130.0
1691,130.0
1708,130.0
1562,130.0
1469,130.0
1378,130.0
1223,130.0
1123,130.0
1066,130.0
953,130.0
1012,130.0
1088,130.0
1322,130.0
1526,130.0
1451,130.0
1521,130.0
1677,130.0
1618,130.0
1420,130.0
1360,130.0
1432,130.0
1333,130.0
1546,130.0
1505,130.0
1664,130.0
1758,130.0
1743,130.0
1627,130.0
1509,130.0
1393,130.0
1219,130.0
1166,130.0
1073,130.0
908,130.0
1012,130.0
952,130.0
1322,130.0
1440,130.0
1403,130.0
1546,130.0
1783,130.0
1779,130.0
1594,130.0
1643,130.0
1526,130.0
1463,130.0
1890,130.0
1685,130.0
1865,130.0
1790,130.0
1649,130.0
1571,130.0
1537,130.0
1386,130.0
1257,130.0
1223,130.0
1032,130.0
1062,130.0
971,130.0
1110,130.0
1296,130.0
1482,130.0
1746,130.0
1922,130.0
1835,130.0
1604,130.0
1478,130.0
1364,130.0
1431,130.0
1527,130.0
1758,130.0
1646,200.0
1809,200.0
1689,200.0
1561,200.0
1432,200.0
1311,200.0
1165,200.0
972,200.0
1052,200.0
1007,200.0
1124,200.0
1253,200.0
1298,200.0
1528,200.0
1468,130.0
1459,130.0
1480,130.0
1541,130.0
1493,130.0
1418,130.0
1491,130.0
1417,130.0
1512,130.0
1579,130.0
